"marks","course","qual"
55,1,2
48,2,2
69,3,1
81,1,1
65,3,1
82,2,2
66,1,1
67,2,2
80,2,2
59,3,2
52,2,2
65,1,2
76,1,1
74,3,2
60,2,2
74,3,2
77,3,2
36,1,1
66,2,1
52,1,2
67,2,1
68,2,1
67,1,2
56,1,1
62,3,1
57,3,1
69,3,1
66,1,1
67,1,1
55,2,1
60,3,2
63,1,2
36,2,2
66,1,2
57,1,1
46,3,1
64,2,2
55,3,1
69,2,2
52,2,2
65,2,1
54,2,2
72,3,1
44,3,2
68,3,1
59,2,2
53,1,2
41,3,1
78,2,1
55,1,2
53,2,1
67,1,1
55,2,2
66,3,2
70,3,1
67,2,1
62,3,1
77,1,2
72,1,1
87,3,1
50,1,2
78,2,2
57,2,2
44,2,2
59,1,1
64,1,2
60,1,2
65,3,1
77,3,2
71,3,2
79,1,1
55,1,2
63,1,2
62,1,2
54,2,2
58,1,1
53,1,2
62,3,2
80,2,1
93,1,1
61,1,2
65,2,2
72,1,1
47,3,2
76,1,1
54,3,1
52,3,2
74,2,1
63,3,1
67,3,2
56,2,1
46,2,1
54,1,2
54,1,2
57,1,2
68,2,1
63,3,1
69,3,2
27,3,1
59,1,1
52,1,2
85,3,1
71,1,1
52,2,1
58,2,2
68,1,1
52,1,2
74,3,2
64,3,1
56,1,2
62,2,1
60,2,1
73,1,2
77,1,2
37,2,1
56,3,1
66,2,1
68,1,2
76,1,2
55,1,1
49,2,1
78,3,2
64,2,1
62,3,2
70,2,1
70,3,2
60,1,2
60,2,2
59,1,2
80,3,2
50,3,1
48,3,1
70,2,1
37,2,2
55,1,2
44,3,2
51,1,1
60,2,1
59,3,1
67,3,2
68,2,2
72,1,2
55,2,2
70,2,2
61,1,1
68,2,1
76,2,1
65,3,1
62,1,1
57,1,2
55,3,1
58,1,2
59,2,1
60,3,1
65,3,2
72,1,2
62,3,2
73,1,1
65,3,2
65,1,1
51,3,1
66,2,2
66,1,1
63,3,2
83,3,2
45,3,2
80,1,1
76,3,2
51,1,2
59,2,1
73,1,1
52,2,2
60,2,2
61,3,2
70,1,1
74,2,2
78,2,2
58,2,1
65,3,1
49,3,1
59,2,2
64,3,1
71,2,2
59,3,1
55,2,2
52,1,2
55,3,2
50,3,1
54,2,1
50,3,2
67,1,1
71,3,2
81,1,1
42,2,2
46,1,2
74,2,1
72,1,1
77,3,2
65,3,1
64,2,1
67,1,1
53,2,2
69,3,1
45,3,1
75,3,2
66,2,1
57,2,2
80,1,1
49,1,2
62,3,2
63,1,2
64,1,2
70,3,2
67,3,1
50,2,2
60,1,1
56,1,1
56,2,2
65,3,1
76,2,1
74,2,1
44,3,1
71,1,1
54,2,1
56,2,1
63,2,2
46,3,2
67,3,1
53,3,2
71,2,1
72,2,1
71,3,1
59,2,1
67,2,2
61,1,2
57,3,2
62,1,2
51,1,2
60,3,1
39,2,2
55,1,1
65,1,1
62,3,2
70,1,1
60,1,1
60,2,1
75,1,1
42,2,2
80,2,1
65,3,1
67,1,1
67,2,1
56,3,2
51,3,2
58,3,1
50,3,1
70,3,1
54,2,1
51,2,2
56,1,2
81,1,2
58,1,2
84,2,2
49,2,1
62,2,1
80,1,1
51,2,1
62,1,2
76,1,1
70,2,2
57,3,2
67,1,1
51,3,2
60,1,1
58,1,2
71,2,1
66,1,2
74,3,2
59,3,2
50,3,1
72,3,2
51,1,1
60,2,2
61,3,2
74,2,2
77,1,1
48,3,1
47,2,2
85,1,1
62,3,1
68,2,2
47,1,2
73,2,1
69,3,2
61,2,1
81,2,1
79,2,2
56,3,2
53,2,2
44,3,1
